1043;33;1;Pupusa de Quesillo ;6;5;1;;;;33
1042;33;1;Pupusa de Loroco ;6;5;1;;;;38
1028;34;2;Cena  (Huevo Estrellado);6;6;0;;;duro;200
1028;34;3;Cena  (Omelette);6;6;0;;;cebo, tomate, chile, sin embutido, con extra aguacate;300
1073;35;2;Limonada  Agua;8;12;3;;;;100
1024;36;2;Baleada con Huevo ;6;5;1;;;y aguacate;64
1023;36;2;Baleada con Chorizo ;6;5;1;;;;90
1024;36;1;Baleada con Huevo ;6;5;1;;;;32
1025;36;1;Baleada con Pollo ;6;5;1;;;;45
1024;36;2;Baleada con Huevo ;6;5;1;;;sin mantequilla;64
1081;36;1;Sandia  Agua;8;9;3;;;;50
1075;36;1;Melon  Agua;8;9;3;;;;50
1081;36;2;Sandia  Agua;8;9;3;;;;100
1012;37;2;Costilla de Cerdo a la BBQ ;2;0;0;Platano Verde;RB;bastante BBQ;350
1086;37;1;Coca Cola ;8;13;3;;;;25
1073;37;1;Limonada  Agua;8;12;3;;;;50
1008;38;1;Filete de Pollo Empanizado ;1;0;0;Papas Fritas;FF;;160
1073;39;1;Limonada  Soda;8;12;3;;;;60
1026;40;1;Baleada Sencilla ;6;5;1;;;todo aparte;25
1026;40;1;Baleada Sencilla ;6;5;1;;;todo aparte;25
1045;41;2;Taco Flauta ;6;5;2;;;;100
1045;42;4;Taco Flauta ;6;5;2;;;2 y 2;200
1001;43;1;Filete de Res ;0;0;0;Platano Verde;RB;;200
1012;44;1;Costilla de Cerdo a la BBQ ;2;0;0;Platano Verde;FF;;175
1025;45;1;Baleada con Pollo ;6;5;1;;;;45
1024;46;6;Baleada con Huevo ;6;5;1;;;;192
1026;46;2;Baleada Sencilla ;6;5;1;;;;50
1006;47;1;Filete de Pollo a la Plancha ;1;0;0;Tortillas;FF;;160
