1004;1;2;Chicken Fingers Infantil ;1;1;0;Guineo Verde;FF;huevo;220
1048;1;1;Tajadas con Pollo ;6;5;0;;;guineo verde, sin repollo, sin salsa;120
1031;1;1;Cena con Pollo  (Huevo Revuelto);6;6;0;Platano Verde;;al ajillo;170
1029;2;1;Cena  (Huevo Estrellado);6;6;0;;;;100
1029;2;1;Cena  (Huevo Revuelto);6;6;0;;;;100
1081;2;1;Papaya  Agua;8;9;3;;;;50
1032;3;1;Cena con Pollo  (Huevo Revuelto);6;6;0;;;;140
1045;3;9;Pupusa Mixta ;6;5;1;;;3 y 3;338
1061;4;1;Orden de Tortilla de Maiz ;7;7;0;;;;8
1002;4;1;Lomito de Res ;0;0;0;Platano Verde;RB;;185
1003;5;1;Chicken Fingers ;1;1;0;;;;160
1010;6;1;Chuleta de Cerdo a la Plancha ;2;0;0;Platano Verde;FF;;160
1029;6;1;Cena  (Huevo Estrellado);6;6;0;;;del rancho;100
1077;6;1;Limonada  Agua;8;12;3;;;;50
1079;6;1;Melon  Agua;8;9;3;;;;50
1010;7;1;Chuleta de Cerdo a la Plancha ;2;0;0;Platano Maduro;FF;;160
1010;7;1;Chuleta de Cerdo a la Plancha ;2;0;0;Platano Maduro;RB;;160
1046;7;1;Taco Flauta ;6;5;2;;;;50
1046;7;2;Taco Flauta ;6;5;2;;;;100
1077;7;4;Limonada  Agua;8;12;3;;;;200
1047;8;1;Tajadas con Carne Molida ;6;5;0;;;guineo verde;120
1045;9;1;Pupusa Mixta ;6;5;1;;;;38
1025;9;1;Baleada con Huevo ;6;5;1;;;;32
1044;9;2;Pupusa de Quesillo ;6;5;1;;;;65
1087;9;2;Agua ;8;13;3;;;;50
1045;10;6;Pupusa Mixta ;6;5;1;;;3 y 3;225
1049;10;3;Tortilla con Quesillo ;6;5;1;;;;114
1007;11;1;Filete de Pollo al Ajillo ;1;0;0;Platano Verde;FF;;160
1085;11;1;Sandia  Agua;8;9;3;;;;50
1027;12;2;Baleada Sencilla ;6;5;1;;;;50
1046;13;2;Taco Flauta ;6;5;2;;;;100
1045;14;2;Pupusa Mixta ;6;5;1;;;;75
1043;14;1;Pupusa de Loroco ;6;5;1;;;;38
1026;14;1;Baleada con Pollo ;6;5;1;;;;45
1041;15;1;Nacho con Pollo ;6;5;0;;;;135
1046;15;2;Taco Flauta ;6;5;2;;;;100
1074;15;2;Fresa  Agua;8;9;3;;;;120
1024;16;2;Baleada con Chorizo ;6;5;1;;;con huevo, sin mantequilla;90
1045;16;2;Pupusa Mixta ;6;5;1;;;;75
1046;16;1;Taco Flauta ;6;5;2;;;;50
1045;17;2;Pupusa Mixta ;6;5;1;;;;75
1045;17;2;Pupusa Mixta ;6;5;1;;;;75
1094;17;1;Sprite ;8;13;3;;;;25
1025;18;1;Baleada con Huevo ;6;5;1;;;;32
1027;18;5;Baleada Sencilla ;6;5;1;;;;125
1060;18;1;Orden de Platano Maduro Solo;7;8;2;;;;20
1035;19;1;Enchilada de Pollo ;6;5;2;;;;38
1036;19;1;Enchilada de Res ;6;5;2;;;;38
1077;19;1;Limonada  Soda;8;12;3;;;;60
1027;20;2;Baleada Sencilla ;6;5;1;;;;50
1043;20;2;Pupusa de Loroco ;6;5;1;;;;75
1079;20;1;Melon  Agua;8;9;3;;;1/2 azucar;50
1088;20;1;Banana ;8;13;3;;;;25
1012;21;1;Costilla de Cerdo a la BBQ ;2;0;0;Platano Verde;RB;;175
1006;21;2;Filete de Pollo a la Plancha ;1;0;0;Platano Verde;FF;;320
1007;21;2;Filete de Pollo al Ajillo ;1;0;0;Platano Verde;FF;;320
1079;21;1;Melon  Agua;8;9;3;;;;50
1074;21;1;Fresa  Agua;8;9;3;;;;60
1080;21;1;Naranja Agria  Agua;8;12;3;;;;60
1084;21;1;Pina  Agua;8;9;3;;;;50
1044;22;4;Pupusa de Quesillo ;6;5;1;;;2 y 2;130
1079;22;1;Melon  Agua;8;9;3;;;;50
1044;23;4;Pupusa de Quesillo ;6;5;1;;;2 y 2;130
1002;24;2;Lomito de Res ;0;0;0;Platano Verde;FF;;370
1084;24;1;Pina  Agua;8;9;3;;;;50
1085;24;1;Sandia  Agua;8;9;3;;;;50
1001;25;1;Filete de Res ;0;0;0;Platano Verde;FF;;200
1043;25;3;Pupusa de Loroco ;6;5;1;;;;113
1046;25;1;Taco Flauta ;6;5;2;;;;50
1074;25;1;Fresa  Agua;8;9;3;;;1/2 azucar;60
1083;25;1;Papaya  Agua;8;9;3;;;1/2 azucar;50
1008;26;1;Filete de Pollo Empanizado ;1;0;0;Platano Verde;FF;;160
1027;26;1;Baleada Sencilla ;6;5;1;;;;25
1025;26;1;Baleada con Huevo ;6;5;1;;;;32
1074;26;1;Fresa  Leche;8;9;3;;;;70
1001;27;1;Filete de Res ;0;0;0;Tortillas;FF;;200
1029;27;1;Cena  (Huevo Revuelto);6;6;0;;;;100
1043;27;4;Pupusa de Loroco ;6;5;1;;;2 y 2;150
1045;28;2;Pupusa Mixta ;6;5;1;;;;75
1045;28;2;Pupusa Mixta ;6;5;1;;;;75
1036;28;1;Enchilada de Res ;6;5;2;;;;38
1085;28;3;Sandia  Agua;8;9;3;;;1 sin azucar;150
1044;29;1;Pupusa de Quesillo ;6;5;1;;;;33
1036;30;2;Enchilada de Res ;6;5;2;;;;75
1029;31;1;Cena  (Huevo Revuelto);6;6;0;;;;100
1080;31;1;Naranja Agria  Agua;8;12;3;;;;60
1045;32;4;Pupusa Mixta ;6;5;1;;;2 y 2;150
1027;33;1;Baleada Sencilla ;6;5;1;;;;25
1012;34;1;Costilla de Cerdo a la BBQ ;2;0;0;Platano Verde;RB;;175
1045;35;1;Pupusa Mixta ;6;5;1;;;;38
1043;35;1;Pupusa de Loroco ;6;5;1;;;;38
1045;35;1;Pupusa Mixta ;6;5;1;;;;38
1044;35;1;Pupusa de Quesillo ;6;5;1;;;;33
1027;35;1;Baleada Sencilla ;6;5;1;;;;25
1044;35;3;Pupusa de Quesillo ;6;5;1;;;;98
1036;35;1;Enchilada de Res ;6;5;2;;;;38
1085;35;1;Sandia  Agua;8;9;3;;;;50
1080;35;1;Naranja Agria  Agua;8;12;3;;;;60
1084;35;1;Pina  Agua;8;9;3;;;;50
1045;35;1;Pupusa Mixta ;6;5;1;;;;38
1043;35;1;Pupusa de Loroco ;6;5;1;;;;38
1045;35;1;Pupusa Mixta ;6;5;1;;;;38
1044;35;1;Pupusa de Quesillo ;6;5;1;;;;33
1027;35;1;Baleada Sencilla ;6;5;1;;;;25
1044;35;3;Pupusa de Quesillo ;6;5;1;;;;98
1036;35;1;Enchilada de Res ;6;5;2;;;;38
1085;35;1;Sandia  Agua;8;9;3;;;;50
1080;35;1;Naranja Agria  Agua;8;12;3;;;;60
1084;35;1;Pina  Agua;8;9;3;;;;50
1037;36;1;Gringa de Pollo ;6;5;1;;;;70
1044;36;2;Pupusa de Quesillo ;6;5;1;;;;65
1046;36;2;Taco Flauta ;6;5;2;;;;100
1093;36;1;Pepis ;8;13;3;;;;25
1094;36;1;Sprite ;8;13;3;;;;25
1079;36;1;Melon  Agua;8;9;3;;;;50
1010;37;1;Chuleta de Cerdo a la Plancha ;2;0;0;Platano Verde;FF;;160
1012;37;1;Costilla de Cerdo a la BBQ ;2;0;0;Platano Verde;FF;;175
1041;38;1;Nacho con Pollo ;6;5;0;;;;135
1044;38;2;Pupusa de Quesillo ;6;5;1;;;;65
1077;38;2;Limonada  Soda;8;12;3;;;;120
1025;39;1;Baleada con Huevo ;6;5;1;;;;32
1027;39;1;Baleada Sencilla ;6;5;1;;;;25
1085;39;1;Sandia  Agua;8;9;3;;;;50
1071;39;1;Banano Cereal ;8;10;3;;;;80
1080;39;1;Naranja Agria  Agua;8;12;3;;;;60
1080;40;1;Naranja Agria  Agua;8;12;3;;;;60
1045;41;2;Pupusa Mixta ;6;5;1;;;;75
1045;41;2;Pupusa Mixta ;6;5;1;;;;75
1080;41;2;Naranja Agria  Agua;8;12;3;;;;120
1046;42;1;Taco Flauta ;6;5;2;;;;50
1046;43;2;Taco Flauta ;6;5;2;;;;100
1044;44;4;Pupusa de Quesillo ;6;5;1;;;2 y 2;130
1044;44;2;Pupusa de Quesillo ;6;5;1;;;;65
1077;44;1;Limonada  Agua;8;12;3;;;;50
1001;45;1;Filete de Res ;0;0;0;Platano Verde;RB;;200
1006;45;1;Filete de Pollo a la Plancha ;1;0;0;Platano Verde;RB;;160
1003;45;1;Chicken Fingers ;1;1;0;;;;160
1074;46;1;Fresa Limon Agua;8;9;3;;;;80
1054;47;1;Chimol ;7;7;0;;;;10
1056;47;1;Encurtido ;7;7;0;;;;10
1046;47;4;Taco Flauta ;6;5;2;;;2 y 2;200
1027;48;3;Baleada Sencilla ;6;5;1;;;;75
1079;48;1;Melon  Agua;8;9;3;;;;50
1027;49;3;Baleada Sencilla ;6;5;1;;;;75
1026;49;1;Baleada con Pollo ;6;5;1;;;;45
1043;50;3;Pupusa de Loroco ;6;5;1;;;;113
1036;50;2;Enchilada de Res ;6;5;2;;;sin repollo;75
1076;50;1;Horchata ;8;11;3;;;;50
1079;50;1;Melon  Agua;8;9;3;;;;50
1010;51;1;Chuleta de Cerdo a la Plancha ;2;0;0;Platano Verde;FF;;160
1055;51;1;Chorizo ;7;7;0;;;;35
1076;51;1;Horchata ;8;11;3;;;;50
1046;52;1;Taco Flauta ;6;5;2;;;;50
1035;52;2;Enchilada de Pollo ;6;5;2;;;sin salsa;75
1046;52;3;Taco Flauta ;6;5;2;;;;150
1036;52;1;Enchilada de Res ;6;5;2;;;;38
1089;52;2;Canda Dry ;8;13;3;;;;50
1032;53;1;Cena con Pollo  (Huevo Estrellado);6;6;0;;;blando;140
1031;53;1;Cena con Costilla  (Huevo Revuelto);6;6;0;;;;185
1031;53;1;Cena con Costilla  (Huevo Estrellado);6;6;0;;;;185
1048;53;1;Tajadas con Pollo ;6;5;0;;;;120
1044;53;2;Pupusa de Quesillo ;6;5;1;;;;65
1027;53;2;Baleada Sencilla ;6;5;1;;;sin mantequilla;50
1027;54;9;Baleada Sencilla ;6;5;1;;;;225
1025;55;4;Baleada con Huevo ;6;5;1;;;;128
1027;55;1;Baleada Sencilla ;6;5;1;;;;25
1007;56;1;Filete de Pollo al Ajillo ;1;0;0;Platano Verde;FF;;160
1041;57;1;Nacho con Pollo ;6;5;0;;;;135
1044;57;2;Pupusa de Quesillo ;6;5;1;;;;65
1046;57;2;Taco Flauta ;6;5;2;;;;100
1025;58;2;Baleada con Huevo ;6;5;1;;;;64
1006;59;3;Filete de Pollo a la Plancha ;1;0;0;Guineo Verde;FF;;480
1045;60;2;Pupusa Mixta ;6;5;1;;;;75
1046;60;2;Taco Flauta ;6;5;2;;;;100
1060;61;1;Orden de Platano Maduro Frijoles - Queso - Mantequilla;7;8;2;;;;40
1029;62;1;Cena  (Huevo Estrellado);6;6;0;;;solo 1 huevo, sin embutido;100
1029;62;1;Cena  (Huevo Revuelto);6;6;0;;;;100
1003;62;1;Chicken Fingers ;1;1;0;;;;160
1069;62;1;Tortilla de Harina ;7;7;1;;;;10
1045;62;2;Pupusa Mixta ;6;5;1;;;;75
1044;62;5;Pupusa de Quesillo ;6;5;1;;;;163
1046;62;4;Taco Flauta ;6;5;2;;;;200
1074;62;1;Fresa  Agua;8;9;3;;;;60
1080;62;1;Naranja Agria  Agua;8;12;3;;;;60
1074;62;3;Fresa Limon Agua;8;9;3;;;;240
1012;63;1;Costilla de Cerdo a la BBQ ;2;0;0;Platano Verde;RB;;175
1025;63;1;Baleada con Huevo ;6;5;1;;;sin frijoles;32
1085;63;1;Sandia  Agua;8;9;3;;;;50
1080;63;1;Naranja Agria  Agua;8;12;3;;;;60
1001;64;1;Filete de Res ;0;0;0;Platano Verde;RB;;200
1025;65;1;Baleada con Huevo ;6;5;1;;;sin lacteos;32
1025;65;3;Baleada con Huevo ;6;5;1;;;;96
1006;66;1;Filete de Pollo a la Plancha ;1;0;0;Papas Fritas;RB;;160
1012;66;1;Costilla de Cerdo a la BBQ ;2;0;0;Papas Fritas;RB;;175
1027;67;1;Baleada Sencilla ;6;5;1;;;tostada;25
1025;67;2;Baleada con Huevo ;6;5;1;;;;64
1044;68;3;Pupusa de Quesillo ;6;5;1;;;;98
1044;68;2;Pupusa de Quesillo ;6;5;1;;;;65
1045;68;2;Pupusa Mixta ;6;5;1;;;;75
1074;68;2;Fresa Limon Agua;8;9;3;;;;160
1061;69;1;Orden de Tortilla de Maiz ;7;7;0;;;;8
1029;69;1;Cena  (Huevo Revuelto);6;6;0;;;;100
1043;69;1;Pupusa de Loroco ;6;5;1;;;;38
1015;70;1;Camarones al Ajillo ;3;0;0;Platano Verde;RB;;195
1039;70;1;Gringa Mixta ;6;5;1;;;;70
1077;70;1;Limonada  Agua;8;12;3;;;;50
1079;70;1;Melon  Agua;8;9;3;;;;50
1026;71;2;Baleada con Pollo ;6;5;1;;;;90
1085;71;1;Sandia  Agua;8;9;3;;;;50
1046;72;2;Taco Flauta ;6;5;2;;;sin queso;100
1032;73;1;Cena con Pollo  (Huevo Estrellado);6;6;0;;;;140
1045;73;2;Pupusa Mixta ;6;5;1;;;;75
1085;73;1;Sandia  Agua;8;9;3;;;;50
